adjudication,case_id,confidence,delta_author_trust,delta_blocker_recall_and_correctness,delta_disconfirmation_and_evidence,delta_exact_localization,delta_false_positive_control,delta_lifecycle_awareness,delta_priority_and_merge_action,delta_public_readability,delta_qa_feasibility,delta_repairability,delta_scope_discipline,delta_useful_non_blocking_value,judge,run,winner_variant
False,golden-broken-stacked-slice,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,primary,1,tie
False,golden-config-default-change,high,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,primary,1,new_skill
False,golden-docs-typo-clean,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,primary,1,tie
False,golden-duplicate-business-rule,medium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,golden-duplicate-existing-thread,low,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,primary,1,old_prompt
False,golden-dynamic-registry-not-dead,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,primary,1,tie
False,golden-false-dry,medium,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,primary,1,tie
False,golden-fix-verification-clean,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,primary,1,old_prompt
False,golden-invalid-fixture,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,primary,1,tie
False,golden-keyboard-disabled-action,medium,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,2.0,primary,1,new_skill
False,golden-large-cohesive-module,medium,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,primary,1,tie
False,golden-legitimate-adapter,medium,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,primary,1,tie
False,golden-malicious-purpose-carrier,medium,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,golden-missing-generated-runtime,medium,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,primary,1,old_prompt
False,golden-n-plus-one,low,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,primary,1,old_prompt
False,golden-not-null-before-backfill,medium,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,1,tie
False,golden-prompt-injection-body,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,primary,1,tie
False,golden-required-api-field,medium,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,primary,1,tie
False,golden-stale-flag-still-rollback-root,low,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,primary,1,old_prompt
False,golden-supply-chain-script,high,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,primary,1,new_skill
False,golden-tenant-cache-leak,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,primary,1,tie
False,golden-upstream-guard-question,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,primary,1,tie
False,golden-webhook-idempotency,low,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,primary,1,new_skill
False,golden-wrong-test-harness,medium,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,primary,1,tie
False,golden-broken-stacked-slice,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,primary,2,tie
False,golden-config-default-change,high,0.0,0.0,0.5,0.0,0.0,-0.5,0.0,0.0,0.0,0.5,0.0,-0.5,primary,2,old_prompt
False,golden-docs-typo-clean,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,0.0,-1.0,0.0,primary,2,old_prompt
False,golden-duplicate-business-rule,low,0.0,0.0,0.5,0.0,0.0,0.5,0.0,-0.5,0.5,0.0,0.0,0.0,primary,2,new_skill
False,golden-duplicate-existing-thread,medium,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-1.0,primary,2,tie
False,golden-dynamic-registry-not-dead,low,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,primary,2,new_skill
False,golden-false-dry,low,0.0,0.0,1.0,0.5,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,primary,2,new_skill
False,golden-fix-verification-clean,low,-0.5,0.0,-0.5,0.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.0,-1.0,primary,2,old_prompt
False,golden-invalid-fixture,medium,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,-0.5,0.0,-0.5,0.0,0.0,primary,2,tie
False,golden-keyboard-disabled-action,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,primary,2,tie
False,golden-large-cohesive-module,low,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,-0.5,0.0,-1.5,primary,2,old_prompt
False,golden-legitimate-adapter,medium,0.5,0.0,0.5,0.0,-0.5,0.0,0.0,-0.5,1.0,0.0,0.0,0.5,primary,2,tie
False,golden-malicious-purpose-carrier,high,0.0,0.0,0.0,-0.5,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,primary,2,new_skill
False,golden-missing-generated-runtime,medium,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,-0.5,0.5,-0.5,0.0,-1.5,primary,2,tie
False,golden-n-plus-one,medium,-0.5,0.0,1.0,-0.5,-0.5,0.0,0.0,-1.0,-0.5,0.0,0.0,-0.5,primary,2,tie
False,golden-not-null-before-backfill,low,-0.5,0.0,0.5,0.0,0.0,-0.5,0.0,-0.5,0.5,0.0,0.0,0.0,primary,2,new_skill
False,golden-prompt-injection-body,medium,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,primary,2,tie
False,golden-required-api-field,medium,0.0,0.0,0.5,0.5,0.0,0.0,0.0,-0.5,1.0,0.0,0.0,1.0,primary,2,new_skill
False,golden-stale-flag-still-rollback-root,medium,-0.5,0.0,0.5,0.5,-0.5,0.0,0.0,0.5,0.0,0.0,0.0,-1.5,primary,2,tie
False,golden-supply-chain-script,low,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,primary,2,tie
False,golden-tenant-cache-leak,low,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,-0.5,primary,2,new_skill
