case_id,confidence_primary,confidence_secondary,primary_delta_author_trust,primary_delta_blocker_recall_and_correctness,primary_delta_disconfirmation_and_evidence,primary_delta_exact_localization,primary_delta_false_positive_control,primary_delta_lifecycle_awareness,primary_delta_priority_and_merge_action,primary_delta_public_readability,primary_delta_qa_feasibility,primary_delta_repairability,primary_delta_scope_discipline,primary_delta_useful_non_blocking_value,primary_total_delta,primary_total_new,primary_total_old,run,secondary_delta_author_trust,secondary_delta_blocker_recall_and_correctness,secondary_delta_disconfirmation_and_evidence,secondary_delta_exact_localization,secondary_delta_false_positive_control,secondary_delta_lifecycle_awareness,secondary_delta_priority_and_merge_action,secondary_delta_public_readability,secondary_delta_qa_feasibility,secondary_delta_repairability,secondary_delta_scope_discipline,secondary_delta_useful_non_blocking_value,secondary_total_delta,secondary_total_new,secondary_total_old,stage,winner_primary,winner_secondary
golden-broken-stacked-slice,medium,low,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,1,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-3.0,42.0,45.0,stage1-golden,tie,old_prompt
golden-config-default-change,high,high,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,8.0,46.0,38.0,1,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,18.0,47.0,29.0,stage1-golden,new_skill,new_skill
golden-docs-typo-clean,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,46.0,46.0,1,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,2.0,45.0,43.0,stage1-golden,tie,tie
golden-duplicate-business-rule,medium,medium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,46.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,46.0,45.0,stage1-golden,tie,tie
golden-duplicate-existing-thread,low,medium,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,-4.0,38.0,42.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-2.0,-5.0,40.0,45.0,stage1-golden,old_prompt,old_prompt
golden-dynamic-registry-not-dead,medium,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,46.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,46.0,40.0,stage1-golden,tie,new_skill
golden-false-dry,medium,medium,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,46.0,45.0,1,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-2.0,43.0,45.0,stage1-golden,tie,tie
golden-fix-verification-clean,low,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,-2.0,44.0,46.0,1,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,-4.0,43.0,47.0,stage1-golden,old_prompt,old_prompt
golden-invalid-fixture,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,44.0,45.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,43.0,44.0,stage1-golden,tie,tie
golden-keyboard-disabled-action,medium,medium,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,2.0,4.0,47.0,43.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,2.0,46.0,44.0,stage1-golden,new_skill,tie
golden-large-cohesive-module,medium,medium,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,46.0,45.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-1.0,1.0,-2.0,1.0,43.0,42.0,stage1-golden,tie,tie
golden-legitimate-adapter,medium,medium,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,44.0,43.0,1,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,0.0,1.0,3.0,46.0,43.0,stage1-golden,tie,new_skill
golden-malicious-purpose-carrier,medium,medium,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,43.0,44.0,1,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,43.0,44.0,stage1-golden,tie,tie
golden-missing-generated-runtime,medium,medium,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,-4.0,42.0,46.0,1,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,-7.0,40.0,47.0,stage1-golden,old_prompt,old_prompt
golden-n-plus-one,low,medium,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-4.0,43.0,47.0,1,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,45.0,46.0,stage1-golden,old_prompt,tie
golden-not-null-before-backfill,medium,low,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,44.0,46.0,1,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-2.0,43.0,45.0,stage1-golden,tie,old_prompt
golden-prompt-injection-body,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,43.0,44.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,44.0,43.0,stage1-golden,tie,tie
golden-required-api-field,medium,medium,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,45.0,45.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,44.0,43.0,stage1-golden,tie,tie
